[     0.0s 14:16:39] FIXED-mode pipeline -> /home/joebachir20/replication_kit/method_reconstruction/pipeline/runs_parallel/20260714_141639
[     0.0s 14:16:39] workers: [('uncapped_sub89', 'lns', None), ('depth5_sub90', 'lns', 5)]
[     0.0s 14:16:39] LAUNCH uncapped_sub89   engine=lns depth=none start=seed_89_at_depth6.json pid=1641591
[     0.0s 14:16:39] LAUNCH depth5_sub90     engine=lns depth=5 start=seed_90_at_depth5.json pid=1641592
[    20.0s 14:16:59] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[    20.0s 14:16:59] GLOBAL BEST 89 gates depth 6 (uncapped_sub89) -> best_overall.json
[    37.1s 14:17:16] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[    54.2s 14:17:33] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[    74.2s 14:17:53] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[    91.3s 14:18:11] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   108.4s 14:18:28] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   128.4s 14:18:48] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   145.5s 14:19:05] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   165.5s 14:19:25] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   182.7s 14:19:42] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   199.7s 14:19:59] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   219.8s 14:20:19] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   236.9s 14:20:36] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   256.9s 14:20:56] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   274.0s 14:21:13] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   291.0s 14:21:30] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   311.1s 14:21:50] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   328.2s 14:22:07] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   345.3s 14:22:25] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   365.3s 14:22:45] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   382.4s 14:23:02] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   402.4s 14:23:22] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   419.5s 14:23:39] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   436.6s 14:23:56] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   456.6s 14:24:16] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   473.7s 14:24:33] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   490.8s 14:24:50] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   510.8s 14:25:10] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   527.9s 14:25:27] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
[   547.9s 14:25:47] status: uncapped_sub89=89/6(up)  depth5_sub90=90/5(up)
